Name,Description,Planning Method,Training Data,End-effector Hardware,Object Configuration,Input Data,Output Pose,"Corresponding Dataset
Grasp Pose Detection (GPD),"Grasp Pose Detection (GPD) is a package to detect 6-DOF grasp poses (3-DOF position and 3-DOF orientation) for a 2-finger robot hand (e.g., a parallel jaw gripper) in 3D point clouds. GPD takes a point cloud as input and produces pose estimates of viable grasps as output. The main strengths of GPD are: works for novel objects (no CAD models required for detection), works in dense clutter, and outputs 6-DOF grasp poses (enabling more than just top-down grasps).",Sampling,Sim,Two-finger,Piled,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,OpenRAVE,3DNet,"Number of objects, Number of grasp attempts, Number of successful grasps, Percentage of successful grasps, Percentage of objects removed",Eye-in-hand,"C++, Python, PyTorch",https://github.com/atenpas/gpd ,BSD 2-Clause,Andreas Ten Pas,"Ten Pas, Andreas, Marcus Gualtieri, Kate Saenko, and Robert Platt. ""Grasp pose detection in point clouds."" The International Journal of Robotics Research 36, no. 13-14 (2017): 1455-1473.",2017,Selected (Brian),Brian integrating for ROS 1
Grasp Proposal Network (GPNet),"The end-to-end Grasp Proposal Network (GPNet) predicts a diverse set of 6-DOF grasps for an unseen object observed from a single and unknown camera view. GPNet builds on a key design of grasp proposal module that defines anchors of grasp centers at discrete but regular 3D grid corners, which is flexible to support either more precise or more diverse grasp predictions. ",Direct regression,Sim,Two-finger,Singulated,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Grasp Proposal Network (GPNet),PyBullet,PointNet++,"Grasp success rate, Coverage rate",Agnostic,"Python, PyTorch",https://github.com/Gorilla-Lab-SCUT/GPNet ,,South China University of Technology,"Wu, Chaozheng, Jian Chen, Qiaoyu Cao, Jianchi Zhang, Yunxin Tai, Lin Sun, and Kui Jia. ""Grasp proposal networks: An end-to-end solution for visual learning of robotic grasps."" Advances in Neural Information Processing Systems 33 (2020): 13174-13184.",2020,,
GraspGen,"We build upon the recent success on modeling the object-centric grasp generation process as an iterative diffusion process. Our proposed framework - GraspGen - consists of a Diffusion-Transformer architecture that enhances grasp generation, paired with an efficient discriminator to score and filter sampled grasps. We introduce a novel and performant on-generator training recipe for the discriminator.",Generative,Sim,"Two-finger, Suction",Singulated,"Point cloud, Grasp",Grasp success probability,GraspGen,Isaac-Sim,PointTransformer,Grasp success rate,,"Python, PyTorch","https://graspgen.github.io/ 

https://github.com/NVlabs/GraspGen ",NVIDIA,NVIDIA,"Murali, Adithyavairavan, Balakumar Sundaralingam, Yu-Wei Chao, Wentao Yuan, Jun Yamada, Mark Carlson, Fabio Ramos, Stan Birchfield, Dieter Fox, and Clemens Eppner. ""GraspGen: A Diffusion-based Framework for 6-DOF Grasping with On-Generator Training."" arXiv preprint arXiv:2507.13097 (2025).",2025,,
GraspGPT,"We propose GraspGPT, a large language model (LLM) based TOG framework that leverages the open-end semantic knowledge from an LLM to achieve zero-shot generalization to novel concepts. We conduct experiments on Language Augmented TaskGrasp (LA-TaskGrasp) dataset and demonstrate that GraspGPT outperforms existing TOG methods on different held-out settings when generalizing to novel concepts out of the training set. ",Grasp evaluation + Sampler,Sim,Two-finger,Singulated,"Point cloud, Natural language, Grasp",Grasp success probability,Language and Vision Augmented TaskGrasp (LaViA-TaskGrasp),,,Grasp success rate,,"Python, PyTorch","https://github.com/mkt1412/GraspGPT_public 

https://sites.google.com/view/graspgpt/ ",,,"Tang, Chao, Dehao Huang, Wenqi Ge, Weiyu Liu, and Hong Zhang. ""Graspgpt: Leveraging semantic knowledge from a large language model for task-oriented grasping."" IEEE Robotics and Automation Letters 8, no. 11 (2023): 7551-7558.",2023,,
GraspMolmo,"GraspMolmo is a task-oriented grasping system: given a natural-language instruction (e.g., “pour me some tea”) and a single RGB-D image, it predicts a semantically appropriate, stable grasp that is then executed by a separate 6-DoF grasp proposal network. The key novelty is PRISM, a large synthetic dataset (≈379k samples) of cluttered, realistic scenes with language-annotated task–grasp pairs. They fine-tune the Molmo vision-language model on PRISM + TaskGrasp-Image, then use its predicted 2D “point to grasp” to select a 6-DoF grasp among proposals.",Grasp evaluation + Sampler,"Sim, Real",Two-finger,Packed,"RGBD image, Natural language","""6-DoF grasp pose (x, y, z, r, p, y)""","ACRONYM, PRISM",N/A,Molmo-7B,"Grasp success rate, Prediction success rate",Oblique view,Python,"https://abhaybd.github.io/GraspMolmo/ 

https://github.com/abhaybd/GraspMolmo ",MIT,Abhay Deshpande,"Deshpande, Abhay, Yuquan Deng, Arijit Ray, Jordi Salvador, Winson Han, Jiafei Duan, Kuo-Hao Zeng, Yuke Zhu, Ranjay Krishna, and Rose Hendrix. ""GraspMolmo: Generalizable Task-Oriented Grasping via Large-Scale Synthetic Data Generation."" arXiv preprint arXiv:2505.13441 (2025).",2025,,
GraspQP,"GraspQP proposes an analytical, gradient-based method to synthesize diverse, physically stable dexterous grasps for many object–hand pairs. It defines a rigorous, differentiable force-closure energy via an implicit Quadratic Program (QP) and optimizes grasps with a modified Metropolis-adjusted Langevin algorithm (MALA*), which promotes diversity and avoids mode collapse. Using Isaac Lab simulation and objects from DexGraspNet, they generate a large offline dataset of grasps for 5 different hands and 3 grasp taxonomies, showing higher unique grasp rate and entropy than prior methods.","Analytical, Sampling, Optimization",Training-less,"Two-finger, Multi-finger, Three-finger",Singulated,3D object model mesh,"Dexterous grasp, ""6-DoF grasp pose (x, y, z, r, p, y)""","DexGraspNet, Custom",Isaac-Sim,,"Grasp success rate, Maximum penetration, Entropy, Unique grasping rate",,Python,"https://graspqp.github.io/ 

https://github.com/leggedrobotics/graspqp ",MIT,"
Robotic Systems Lab - Legged Robotics at ETH Zürich","Zurbrügg, René, Andrei Cramariuc, and Marco Hutter. ""GraspQP: Differentiable Optimization of Force Closure for Diverse and Robust Dexterous Grasping."" In Conference on Robot Learning, pp. 2583-2602. PMLR, 2025.",2025,,
GraspSAM,"In this paper, we introduce GraspSAM, an innovative extension of the Segment Anything Model (SAM) designed for prompt-driven and category-agnostic grasp detection. Unlike previous methods, which are often limited by small-scale training data, GraspSAM leverages SAM’s large-scale training and prompt-based segmentation capabilities to efficiently support both targetobject and category-agnostic grasping. ",Direct regression,Sim,Two-finger,Singulated,RGB image,"""2D grasp rectangle (x, y, width, height, angle)""","Jacquard, Grasp-Anything, Grasp-Anything++",,ViT,Grasp success rate,Overhead,"Python, PyTorch","https://github.com/gist-ailab/GraspSAM 

https://gistailab.github.io/graspsam/ ",,,"Noh, Sangjun, Jongwon Kim, Dongwoo Nam, Seunghyeok Back, Raeyoung Kang, and Kyoobin Lee. ""Graspsam: When segment anything model meets grasp detection."" arXiv preprint arXiv:2409.12521 (2024).",2024,,
GraspVLA,"GraspVLA is a VLA model pretrained on large-scale synthetic action data as a foundational model for grasping tasks. GraspVLA integrates autoregressive perception tasks and flow-matching-based action generation into a unified Chain-of-Thought process, enabling joint training on synthetic action data and Internet semantics data. This design helps mitigate sim-to-real gaps and facilitates the transfer of learned actions to a broader range of Internet-covered objects, achieving open-vocabulary generalization in grasping.",Generative,Sim,Two-finger,"Packed, Singulated",RGB image,Grasp policy,SynGrasp-1B,"MuJoCo, Isaac-Sim",VLM,Grasp success rate,Multi-view,Python,"https://pku-epic.github.io/GraspVLA-web/ 

https://github.com/PKU-EPIC/GraspVLA ",,"Shengliang Deng,    Mi Yan","Deng, Shengliang, Mi Yan, Songlin Wei, Haixin Ma, Yuxin Yang, Jiayi Chen, Zhiqi Zhang et al. ""Graspvla: a grasping foundation model pre-trained on billion-scale synthetic action data."" arXiv preprint arXiv:2505.03233 (2025).",2025,,
GraspXL,"We unify the generation of hand-object grasping motions across multiple motion objectives, diverse object shapes and dexterous hand morphologies in a policy learning framework GraspXL. The objectives are composed of the graspable area, heading direction, wrist rotation, and hand position. ",Reinforcement learning,Sim,Multi-finger,Singulated,Point cloud,Grasp policy,GraspXL, RaiSim ,PPO,Grasp success rate,N/A,"C++, Python, PyTorch","https://github.com/zdchan/graspxl 

https://eth-ait.github.io/graspxl/ ",CC BY-NC 4.0,Hui Zhang,"Zhang, Hui, Sammy Christen, Zicong Fan, Otmar Hilliges, and Jie Song. ""Graspxl: Generating grasping motions for diverse objects at scale."" In European Conference on Computer Vision, pp. 386-403. Cham: Springer Nature Switzerland, 2024.",2024,,
ICG-Net,The method uses pointcloud data from a single arbitrary viewing direction as an input and generates an instance-centric representation for each partially observed object in the scene. This representation is further used for object reconstruction and grasp detection in cluttered table-top scenes.,Sampling,"Sim, Real",Two-finger,"Piled, Packed",Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",VGN,PyBullet,UNet,"Grasp success rate, Declutter rate",Oblique view,Python,https://github.com/renezurbruegg/icg_net ,MIT,,"Zurbrügg, René, Yifan Liu, Francis Engelmann, Suryansh Kumar, Marco Hutter, Vaishakh Patil, and Fisher Yu. ""ICGNet: a unified approach for instance-centric grasping."" In 2024 IEEE International Conference on Robotics and Automation (ICRA), pp. 4140-4146. IEEE, 2024.",2024,,
Multi-FinGAN,"Multi-FinGAN is a fast generative multi-finger grasp sampling method that synthesizes high quality grasps directly from RGB-D images in about a second. We achieve this by training in an end-to-end fashion a coarse-to-fine model composed of a classification
network that distinguishes grasp types according to a specific taxonomy and a refinement network that produces refined grasp poses and joint angles.",Sampling,Sim,Three-finger,Singulated,RGBD image,"""6-DoF grasp pose (x, y, z, r, p, y)""",Multi-FinGAN,GraspIt!,ResNet-50,"ε-quality grasps, Grasp success rate, Grasp evaluation time",Oblique view ,"Python, PyTorch",https://github.com/aalto-intelligent-robotics/Multi-FinGAN ,MIT,Aalto University Intelligent Robotics,"Lundell, Jens, Enric Corona, Tran Nguyen Le, Francesco Verdoja, Philippe Weinzaepfel, Grégory Rogez, Francesc Moreno-Noguer, and Ville Kyrki. ""Multi-fingan: Generative coarse-to-fine sampling of multi-finger grasps."" In 2021 IEEE International Conference on Robotics and Automation (ICRA), pp. 4495-4501. IEEE, 2021.",2021,,"Huajing: Implemented in ROS 1 Noetic (Construct):
- catkin_make successed;
- Installed required deps (cvxopt, numpy-quaternion, tensorboardX); 
- training not completed due to lack of GPU and Mayavi build segfault."
MultiModalGrasping,"We propose an approach to multi-modal grasp detection that jointly predicts the probabilities that several types of grasps succeed at a given grasp pose. Given a partial point cloud of a scene, the algorithm proposes a set of feasible grasp candidates, then estimates the probabilities that a grasp of each type would succeed at each candidate pose. Predicting grasp success probabilities directly from point clouds makes our approach agnostic to the number and placement of depth sensors at execution time.",Sampling,Sim,Multi-finger,Structured,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,Drake,PointNet++,"Grasp success rate, Number of grasp attempts, Object removal rate",Agnostic,"Python, TensorFlow",https://github.com/mattcorsaro1/MultiModalGrasping ,MIT,Matt Corsaro,"Corsaro, Matt, Stefanie Tellex, and George Konidaris. ""Learning to detect multi-modal grasps for dexterous grasping in dense clutter."" In 2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), pp. 4647-4653. IEEE, 2021.",2021,,
NeuGraspNet,"NeuGraspNet is a novel, fully implicit 6DoF grasp detection method that re-interprets robotic grasping as surface rendering and predicts high-fidelity grasps from any random single viewpoint of a scene.  Our method exploits a learned implicit geometric scene representation to perform global and local surface rendering. This enables effective grasp candidate generation (using global features) and grasp quality prediction (using local features from a shared feature space).",Grasp evaluation + Sampler,Sim,Two-finger,Packed,Depth image,Grasp success probability,,PyBullet,PointNet,"Grasp success rate, Declutter rate",,"Python, PyTorch","https://github.com/pearl-robot-lab/neugraspnet 

https://sites.google.com/view/neugraspnet ",,,"Jauhri, Snehal, Ishikaa Lunawat, and Georgia Chalvatzaki. ""Learning Any-View 6DoF Robotic Grasping in Cluttered Scenes via Neural Surface Rendering."" In RoboNerF: 1st Workshop On Neural Fields In Robotics at ICRA 2024.",2024,,
OrbitGrasp (EquiFormerV2),"Our main contribution is to propose an SE(3)-equivariant model that maps each point in the cloud to a continuous grasp quality function over the 2-sphere S 2 using spherical harmonic basis functions. Compared with reasoning about a finite set of samples, this formulation improves the accuracy and efficiency of our model when a large number of samples would otherwise be needed. In order to accomplish this, we propose a novel variation on EquiFormerV2 that leverages a UNet-style encoder-decoder architecture to enlarge the number of points the model can handle.",Direct regression,Sim,Two-finger,Structured,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,PyBullet,UNet,"Grasp success rate, Grasp success rates averaged over independent episodes",Oblique view,Python,"https://github.com/BoceHu/orbitgrasp 

https://orbitgrasp.github.io/ ",MIT,Boce Hu,"Hu, B., Zhu, X., Wang, D., Dong, Z., Huang, H., Wang, C., ... & Platt, R. (2024). OrbitGrasp: $ SE (3) $-Equivariant Grasp Learning. arXiv preprint arXiv:2407.03531.",2024,,
PointNet++ Grasping,"PointNet++ Grasping is an end-to-end approach to directly predict the poses, categories and scores (qualities) of all the grasps. It takes the whole sparse point clouds as the input and requires no sampling or search process. Moreover, to generate training data of multi-object scene, we propose a fast multi-object grasp detection algorithm based on Ferrari Canny metrics.",Direct regression,Sim,Two-finger,Piled,Point cloud,"""7-DoF grasp pose (x, y, z, r, p, y, approach angle)""",PointNet++ Grasping,PyBullet,PointNet++,"Grasp success rate, Percentage of objects removed",Eye-in-hand,Python,https://github.com/pyni/PointNet2_Grasping_Data_Part/tree/master ,,,"P. Ni, W. Zhang, X. Zhu, and Q. Cao, “PointNet++ Grasping: Learning An End-to-end Spatial Grasp Generation Algorithm from Sparse Point Clouds,” Mar. 21, 2020, arXiv: arXiv:2003.09644. doi: 10.48550/arXiv.2003.09644.",2021,Selected (Shambhuraj),
PointNetGPD,"PointNetGPD is an end-to-end grasp evaluation model to address the challenging problem of localizing robot grasp configurations directly from the point cloud. PointNetGPD is light-weighted and can directly process the 3D point cloud that locates within the gripper for grasp evaluation. Taking the raw point cloud as input, our proposed grasp evaluation network can capture the complex geometric structure of the contact area between the gripper and the object even if the point cloud is very sparse.",Sampling,Sim,Two-finger,Piled,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",PointNetGPD,GraspIt!,PointNet,"Grasp success rate, Completion rate",Multi-view,"Python, PyTorch","https://github.com/lianghongzhuo/PointNetGPD 

https://lianghongzhuo.github.io/PointNetGPD/ ",MIT,Hongzhuo Liang,"Liang, Hongzhuo, Xiaojian Ma, Shuang Li, Michael Görner, Song Tang, Bin Fang, Fuchun Sun, and Jianwei Zhang. ""Pointnetgpd: Detecting grasp configurations from point sets."" In 2019 International Conference on Robotics and Automation (ICRA), pp. 3629-3635. IEEE, 2019.",2019,Selected (Brian),"Wait until GPD is completed

Huajing: tried implementation in ROS 1 Noetic (Construct) 
- catkin_make successful, runtime scripts untested; temporarily commented out meshrender.cpp"
Probablistic Multi-fingered Grasp Planner,This repo has several learning-based multi-fingered grasp planners implemented. We proposed multiple machine leanring models to predict the probability of grasp success from visual information of the object and grasp configuration. We then formulated grasp planning as inferring the grasp configuration which maximizes the probability of grasp success inside the grasp prediction deep networks.,Active learning,Real,Multi-finger,Singulated,Point cloud,Grasp preshape,Custom,,,Grasp success rate,Oblique view ,"Python, TensorFlow","https://github.com/QingkaiLu/multi-fingered_grasp_planners 

https://robot-learning.cs.utah.edu/project/grasp_active_learning ",,Qingkai Lu,"Lu, Qingkai, Mark Van der Merwe, and Tucker Hermans. ""Multi-fingered active grasp learning."" In 2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), pp. 8415-8422. IEEE, 2020.",2020,,
REgion-based Grasp Network (REGNet),REGNet is a REgion-based Grasp Network for End-to-end Grasp Detection in Point Clouds. It aims at generating the optimal grasp of novel objects from partial noisy observations.,Direct regression,Sim,Two-finger,Piled,Point cloud,"""7-DoF grasp pose (x, y, z, r, p, y, approach angle)""",REgion-based Grasp Network (REGNet),MuJoCo,PointNet++,"Grasp success rate, Completion rate",Agnostic,"Python, PyTorch",https://github.com/zhaobinglei/REGNet_for_3D_Grasping ,MIT,Xi'an Jiaotong University,"Zhao, B., H. Zhang, X. Lan, H. Wang, Z. Tian, and N. Zheng. ""REGNet: REgion-based grasp network for single-shot grasp detection in point clouds. arXiv."" arXiv preprint arXiv:2002.12647 (2020).",2020,Selected (Shambhuraj),
RGBD-Grasp,"RGBD-Grasp is a pipeline that decouples 7-DoF grasp detection into two sub-tasks where RGB and depth information are processed separately. In the first stage, an encoder-decoder like convolutional neural network Angle-View Net(AVN) is proposed to predict the SO(3) orientation of the gripper at every location of the image. Consequently, a Fast Analytic Searching (FAS) module calculates the opening width and the distance of the gripper to the grasp point.",Direct regression,"Sim, Real",Two-finger,Cluttered,RGBD image,"""7-DoF grasp pose (x, y, z, r, p, y, gripper width)""",GraspNet-1Billion,,ResNet-50,Grasp success rate,Eye-in-hand,"Python, PyTorch",https://github.com/GouMinghao/rgb_matters ,MIT,Shanghai Jiao Tong University,"Gou, Minghao, Hao-Shu Fang, Zhanda Zhu, Sheng Xu, Chenxi Wang, and Cewu Lu. ""Rgb matters: Learning 7-dof grasp poses on monocular rgbd images."" In 2021 IEEE International Conference on Robotics and Automation (ICRA), pp. 13459-13466. IEEE, 2021.",2021,Selected (Shambhuraj),
Robust Grasp Planning Over Uncertain Shape Completions,"We present a method for planning robust grasps over uncertain shape completed objects. For shape completion, a deep neural network is trained to take a partial view of the object as input and outputs the completed shape as a voxel grid. The key part of the network is dropout layers which are enabled not only during training but also at run-time to generate a set of shape samples representing the shape uncertainty through Monte Carlo sampling. ",Analytical,Sim,Three-finger,Singulated,voxelized occupancy grid,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,GraspIt!,,,"Oblique view, Side view","Python, PyTorch",https://github.com/aalto-intelligent-robotics/robust_grasp_planning_over_uncertain_shape_completions ,MIT,"Jens Lundell, Intelligent Robotics Lab, Aalto University","Lundell, Jens, Francesco Verdoja, and Ville Kyrki. ""Robust grasp planning over uncertain shape completions."" In 2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), pp. 1526-1532. IEEE, 2019.",2019,,"Huajing: Tried implementation in Construct Noetic (18.04) ROS1
- catkin_make successed; submodules and dependencies not automatically pulled in as readMe indicated; considering manual pulling in submodules (links provided). Local roslaunch simulation_experiments.launch failed returning Invalid roslaunch XML syntax: no element found"
RobustDexGrasp,"RobustDexGrasp is a package for generating grasping motions of real-world dexterous robot hands on a wide range of objects (500+ diverse categories). Given a single-view depth image as input, it predicts the corresponding joint actions for both the robot hand and arm.",Reinforcement learning,Sim,Multi-finger,Singulated,Point cloud,Grasp policy,,RaiSim,,"Grasp success rate, Robust grasp rate",Overhead,Python,"https://zdchan.github.io/Robust_DexGrasp/ 

https://github.com/zdchan/RobustDexGrasp ",CC BY-NC 4.0,Hui Zhang,"Zhang, Hui, Zijian Wu, Linyi Huang, Sammy Christen, and Jie Song. ""RobustDexGrasp: Robust Dexterous Grasping of General Objects."" CoRL, 2025.",2025,,
ROI-GD,"ROI-GD is proposed to provide a feasible solution to this problem based on Region of Interest (ROI), which is the region proposal for objects. ROI-GD uses features from ROIs to detect grasps instead of the whole scene. It has two stages: the first stage is to provide ROIs in the input image and the second-stage is the grasp detector based on ROI features. ",ROI-based,Real,Two-finger,Piled,RGBD image,"""2D grasp rectangle (x, y, width, height, angle)""",Visual Manipulation Relationship Dataset (VMRD),N/A,ResNet-101,"Prediction success rate, Grasp success rate",Oblique view ,"Python, PyTorch",https://github.com/ZhangHanbo/Visual-Manipulation-Relationship-Network-Pytorch ,,,"H. Zhang, X. Lan, S. Bai, X. Zhou, Z. Tian, and N. Zheng, “ROI-based Robotic Grasp Detection for Object Overlapping Scenes,” Mar. 14, 2019, arXiv: arXiv:1808.10313. ",2019,,
ShapeGrasp,"Task-oriented grasping of unfamiliar objects is a necessary skill for robots in dynamic in-home environments. Inspired by the human capability to grasp such objects through intuition about their shape and structure, we present a novel zero-shot task-oriented grasping method leveraging a geometric decomposition of the target object into simple, convex shapes that we represent in a graph structure, including geometric attributes and spatial relationships. Our approach employs minimal essential information—the object's name and the intended task—to facilitate zero-shot task-oriented grasping. ",Grasp evaluation + Sampler,Training-less,Three-finger,Singulated,RGBD image,3D position and angle in table plane,,,,"Grasp success rate, Part selection accuracy",Overhead,Python,"https://github.com/samwli/ShapeGrasp 

https://shapegrasp.github.io/ ",MIT,,"Li, Samuel, Sarthak Bhagat, Joseph Campbell, Yaqi Xie, Woojun Kim, Katia Sycara, and Simon Stepputtis. ""Shapegrasp: Zero-shot task-oriented grasping with large language models through geometric decomposition."" In 2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), pp. 10527-10534. IEEE, 2024.",2024,,
Single-Shot SE(3) Grasp Detection (S4G),"S4G is a grasping proposal algorithm to regress SE(3) pose from single camera point cloud (depth only, no RGB information). S4G is trained only on synthetic dataset with YCB Objects, it can generate to real world grasping with unseen objects that has never been used in the training.",Sampling,Sim,Two-finger,Piled,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,MuJoCo,PointNet ,,Oblique view ,"Python, PyTorch","https://github.com/yzqin/s4g-release

https://sites.google.com/view/s4ggrapsing",,Yuzhe Qin,"Qin, Yuzhe, Rui Chen, Hao Zhu, Meng Song, Jing Xu, and Hao Su. ""S4g: Amodal single-view single-shot se (3) grasp detection in cluttered scenes."" In Conference on robot learning, pp. 53-65. PMLR, 2020.",2020,Selected (Shambhuraj),
UniGrasp,"We propose UniGrasp, an efficient data-driven grasp synthesis method that considers both the object geometry and gripper attributes as inputs. UniGrasp is based on a novel deep neural network architecture that selects sets of contact points from the input point cloud of the object. The proposed model is trained on a large dataset to produce contact points that are in force closure and reachable by the robot hand. By using contact points as output, we can transfer between a diverse set of multifingered robotic hands.",Direct regression,Sim,Multi-finger,Singulated,Point cloud,Grasp points,UniGrasp,Bullet,PointNet++,,Eye-in-hand,"Python, TensorFlow","https://github.com/stanford-iprl-lab/UniGrasp 

https://sites.google.com/view/unigrasp",MIT,Stanford Interactive Perception and Robot Learning Lab,"Shao, Lin, Fabio Ferreira, Mikael Jorda, Varun Nambiar, Jianlan Luo, Eugen Solowjow, Juan Aparicio Ojea, Oussama Khatib, and Jeannette Bohg. ""Unigrasp: Learning a unified model to grasp with multifingered robotic hands."" IEEE Robotics and Automation Letters 5, no. 2 (2020): 2286-2293.",2020,,
UniGraspTransformer,"We introduce UniGraspTransformer, a universal Transformer-based network for dexterous robotic grasping that simplifies training while enhancing scalability and performance. Unlike prior methods such as UniDexGrasp++, which require complex, multi-step training pipelines, UniGraspTransformer follows a streamlined process: first, dedicated policy networks are trained for individual objects using reinforcement learning to generate successful grasp trajectories; then, these trajectories are distilled into a single, universal network. ","Reinforcement learning, Direct regression",Sim,Multi-finger,Singulated,Point cloud,Grasp policy,,Isaac-Gym,,Grasp success rate,Multi-view,"PyTorch, Python","https://github.com/microsoft/UniGraspTransformer 

https://dexhand.github.io/UniGraspTransformer/ ",MIT,Microsoft,"Wang, Wenbo, Fangyun Wei, Lei Zhou, Xi Chen, Lin Luo, Xiaohan Yi, Yizhong Zhang et al. ""Unigrasptransformer: Simplified policy distillation for scalable dexterous robotic grasping."" In Proceedings of the Computer Vision and Pattern Recognition Conference, pp. 12199-12208. 2025.",2025,,
Volumetric Grasping Network (VGN),"VGN is a 3D convolutional neural network for real-time 6 DOF grasp pose detection. The network accepts a Truncated Signed Distance Function (TSDF) representation of the scene and outputs a volume of the same spatial resolution, where each cell contains the predicted quality, orientation, and width of a grasp executed at the center of the voxel. The network is trained on a synthetic grasping dataset generated with physics simulation.",Direct regression,Sim,Two-finger,Piled,Truncated Signed Distance Function (TSDF),"""6-DoF grasp pose (x, y, z, r, p, y)""",VGN,PyBullet,,,Eye-in-hand,"Python, PyTorch",https://github.com/ethz-asl/vgn ,BSD 3-Clause,Autonomous Systems Lab @ ETH Zürich,"Breyer, Michel, Jen Jen Chung, Lionel Ott, Roland Siegwart, and Juan Nieto. ""Volumetric grasping network: Real-time 6 dof grasp detection in clutter."" In Conference on Robot Learning, pp. 1602-1611. PMLR, 2021.",2021,Selected (Shambhuraj),"Huajing: tried implementation in Construct
- Construct: ROS 2 Jazzy (Py3.12) → Humble (Py3.10)
   - partial success on 3.10 with NumPy downgrade and Open3D reinstall.  Temporary removed PyBullet from CMakeList.
- Construct: ROS 1 Noetic (Ubuntu 20.04, Python 3.8)
   - catkin_make succeeded; open3d reinstalled; Able to build and run basic scripts; 'panda_grasp.launch' executed (paused)
"
ZeroGrasp,ZeroGrasp is a framework for simultaneous reconstruction and grasp pose prediction of multiple unseen objects from a single RGB-D image in near real-time. ZeroGrasp achieves the state-of-the-art results across all splits on GraspNet-1B benchmark and demonstrates strong generalization and robustoness in real-world scenarios.,Grasp evaluation + Sampler,Sim,Two-finger,Cluttered,RGBD image,Grasp success probability,ZeroGrasp-11B,Isaac-Gym,,Average Precision,Overhead,"Python, PyTorch","https://github.com/sh8/ZeroGrasp 

https://sh8.io/#/zerograsp ",CC BY-NC 4.0,,"Iwase, Shun, Muhammad Zubair Irshad, Katherine Liu, Vitor Guizilini, Robert Lee, Takuya Ikeda, Ayako Amma et al. ""ZeroGrasp: Zero-Shot Shape Reconstruction Enabled Robotic Grasping."" In Proceedings of the Computer Vision and Pattern Recognition Conference, pp. 17405-17415. 2025.",2025,,
