Name,Description,Middleware,IK/Controller,Planning Type,Language,Link(s),License,Maintainer(s),Citation,Year (Initial Release)
🤖 CRISP,"CRISP is a C++ library developed to efficiently solve contact-implicit motion planning problems, using a customized trust region Sequential Convex Programming (SCP) algorithm.",No,No,Optimization,C++,https://github.com/ComputationalRobotics/CRISP   https://computationalrobotics.seas.harvard.edu/CRISP/,,Harvard Computational Robotics Lab,"Li, Yulin, Haoyu Han, Shucheng Kang, Jun Ma, and Heng Yang. ""On the surprising robustness of sequential convex optimization for contact-implicit motion planning."" arXiv preprint arXiv:2502.01055 (2025).",2025
🤖 RoboPlan,"RoboPlan is a motion planning library, similar to tools like MoveIt. The key idea is the use of the Pinocchio library to represent robots. Pinocchio's strength is loading robot models from standard formats such as URDF and MJCF, and being able to represent rigid-body kinematics and dynamics. RoboPlan can use these models to perform the basic calculations for motion planning and control. This includes things like collision checking, forward kinematics, and inverse kinematics/dynamics.",Yes,Yes,Plug-in,"C++, Python",https://github.com/open-planning/roboplan   https://roboplan.readthedocs.io/,MIT,Open Planning,,2026
CHOMP,"Covariant Hamiltonian Optimization for Motion Planning (CHOMP) is a gradient-based trajectory optimization procedure that makes many everyday motion planning problems both simple and trainable. While most high-dimensional motion planners separate trajectory generation into distinct planning and optimization stages, this algorithm capitalizes on covariant gradient and functional gradient approaches to the optimization stage to design a motion planning algorithm based entirely on trajectory optimization.",No,No,"Optimization, ROS packages, Plug-in",C++,https://moveit.ai/documentation/planners/   http://docs.ros.org/en/melodic/api/moveit_tutorials/html/doc/chomp_planner/chomp_planner_tutorial.html,BSD 3-Clause,PickNik,"Ratliff, Nathan, Matt Zucker, J. Andrew Bagnell, and Siddhartha Srinivasa. ""CHOMP: Gradient optimization techniques for efficient motion planning."" In 2009 IEEE international conference on robotics and automation, pp. 489-494. IEEE, 2009.",2009
cuRobo,"cuRobo is a CUDA accelerated library containing a suite of robotics algorithms that run significantly faster than existing implementations leveraging parallel compute. cuRobo currently provides the following algorithms: (1) forward and inverse kinematics, (2) collision checking between robot and world, with the world represented as Cuboids, Meshes, and Depth images, (3) numerical optimization with gradient descent, L-BFGS, and MPPI, (4) geometric planning, (5) trajectory optimization, (6) motion generation that combines inverse kinematics, geometric planning, and trajectory optimization.",No,Yes,Optimization,Python,https://github.com/nvlabs/curobo   https://curobo.org/,NVIDIA,NVIDIA,"Sundaralingam, Balakumar, Siva Kumar Sastry Hari, Adam Fishman, Caelan Garrett, Karl Van Wyk, Valts Blukis, Alexander Millane et al. ""curobo: Parallelized collision-free minimum-jerk robot motion generation."" arXiv preprint arXiv:2310.17274 (2023).",2023
GraspTrajOpt,"We introduce a new trajectory optimization method for robotic grasping based on a point-cloud representation of robots and task spaces. In our method, robots are represented by 3D points on their link surfaces. The task space of a robot is represented by a point cloud that can be obtained from depth sensors. Using the point-cloud representation, goal reaching in grasping can be formulated as point matching, while collision avoidance can be efficiently achieved by querying the signed distance values of the robot points in the signed distance field of the scene points.",No,No,Optimization,Python,https://github.com/IRVLUTD/GraspTrajOpt   https://irvlutd.github.io/GraspTrajOpt/,MIT,Intelligent Robotics and Vision Lab at the University of Texas at Dallas,"Xiang, Yu, Sai Haneesh Allu, Rohith Peddi, Tyler Summers, and Vibhav Gogate. ""Grasping trajectory optimization with point clouds."" In 2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), pp. 9885-9892. IEEE, 2024.",2024
Klamp't,"Klamp't (Kris' Locomotion and Manipulation Planning Toolbox) is an open-source, cross-platform software package for robot modeling, simulating, planning, optimization, and visualization. It aims to provide an accessible, wide range of programming tools for learning robotics, analyzing robots, developing algorithms, and prototyping intelligent behaviors. It has particular strengths in robot manipulation and locomotion.",Yes,Yes,Sampling,"C++, Python",https://github.com/krishauser/Klampt   https://motion.cs.illinois.edu/klampt/,BSD 3-Clause,Intelligent Motion Lab UIUC,"Hauser, K. Kris' locomotion and manipulation planning toolbox-Klamp't. 2021.",2021
KOMO,"KOMO (k-order Markov Path Optimization) This is a python library to operate a real or simulated robot, work with robot/world configurations, compute differentiable features, formulate and solve constrained optimization problems (for inverse kinematics, path optimization, and manipulation planning), and interfacing to various physical simulation engines. These python bindings were developed for easier access to the underlying C++ code base, esp. for teaching and students.",Yes,Yes,Optimization,"C++, Python",https://github.com/MarcToussaint/KOMO   https://github.com/MarcToussaint/robotic/,MIT,Marc Toussaint,"Toussaint, Marc. ""Newton methods for k-order markov constrained motion problems."" arXiv preprint arXiv:1407.0414 (2014).",2014
OMPL,"OMPL, the Open Motion Planning Library, consists of many state-of-the-art sampling-based motion planning algorithms. OMPL itself does not contain any code related to, e.g., collision checking or visualization. This is a deliberate design choice, so that OMPL is not tied to a particular collision checker or visualization front end. The library is designed so it can be easily integrated into systems that provide the additional needed components.",No,No,Sampling,C++,https://github.com/ompl/ompl   https://ompl.kavrakilab.org/,BSD 3-Clause,"Kavraki Lab, Rice University","Sucan, Ioan A., Mark Moll, and Lydia E. Kavraki. ""The open motion planning library."" IEEE Robotics & Automation Magazine 19, no. 4 (2012): 72-82.",2012
RAPTOR,"RAPid and Robust Trajectory Optimization for Robots (RAPTOR) introduces a generalized gait optimization framework that directly generates smooth and physically feasible trajectories. The proposed method demonstrates faster and more robust convergence than existing techniques and explicitly incorporates closed-loop constraints. The method is implemented as an open-source C++ codebase that significantly reduces computation times, facilitating dynamic locomotion for full-size humanoids. Note that RAPTOR also works for other fully actuated systems such as robotic manipulators.",No,Yes,Optimization,C++,https://roahmlab.github.io/RAPTOR/   https://github.com/roahmlab/RAPTOR,GPL-3,University of Michigan,"Zhang, Bohao, and Ram Vasudevan. ""Rapid and Robust Trajectory Optimization for Humanoids."" arXiv preprint arXiv:2409.00303 (2024).",2024
STOMP,"Stochastic Trajectory Optimization for Motion Planning is a probabilistic optimization framework. The approach relies on generating randomized noisy trajectories to explore the space around an initial (possibly infeasible) reference trajectory to produce a newly combined trajectory with lower cost. Trajectory costs are computed by problem-specific cost functions that compute waypoint cost penalties for collisions, waypoint constraint violations, smoothness, and control properties. The optimization process is run iteratively, so that the reference trajectory is continuously improved without introducing jumps.",No,No,"ROS packages, Optimization, Plug-in",C++,https://github.com/ros-industrial/stomp,Apache 2.0,ROS-Industrial,"Kalakrishnan, Mrinal, Sachin Chitta, Evangelos Theodorou, Peter Pastor, and Stefan Schaal. ""STOMP: Stochastic trajectory optimization for motion planning."" In 2011 IEEE international conference on robotics and automation, pp. 4569-4574. IEEE, 2011.",2011
Tesseract,"The planning framework (Tesseract) was designed to be light weight, limiting the number of dependencies, mainly only using standard libraries like, eigen, boost, orocos and to the packages below. The core packages are ROS agnostic and have full python support.",Yes,Yes,"Plug-in, Sampling, Optimization","C++, Python",https://github.com/tesseract-robotics/tesseract   https://tesseract-docs.readthedocs.io/en/latest/,BSD 3-Clause,ROS-Industrial,,2020
TrajOpt,"trajopt: Trajectory Optimization for Motion Planning. trajopt is a software framework for generating robot trajectories by local optimization. The following core capabilities are included: a solver for non-convex optimization problems, using sequential convex optimization; cost and constraint functions for kinematics and collision avoidance; constructing problems from JSON-based specification format.",No,No,"Plug-in, ROS packages, Optimization",C++,https://github.com/joschu/trajopt   https://rll.berkeley.edu/trajopt/,BSD 2-Clause,UC Berkeley Robot Learning Lab,"Schulman, John, Jonathan Ho, Alex X. Lee, Ibrahim Awwal, Henry Bradlow, and Pieter Abbeel. ""Finding locally optimal, collision-free trajectories with sequential convex optimization."" In Robotics: science and systems, vol. 9, no. 1, pp. 1-10. 2013.",2013
VAMP,"By exploiting ubiquitous CPU SIMD instructions to accelerate collision checking and forward kinematics (FK), vamp's RRT-Connect solves problems for the Franka Emika Panda from the MotionBenchMaker dataset at a median speed of 35 microseconds (on one core of a consumer desktop PC).",No,No,Sampling,"C++, Python",https://github.com/KavrakiLab/vamp,PolyForm Noncommercial License 1.0.0,"Kavraki Lab, Rice University","Thomason, Wil, Zachary Kingston, and Lydia E. Kavraki. ""Motions in microseconds via vectorized sampling-based planning."" In 2024 IEEE International Conference on Robotics and Automation (ICRA), pp. 8749-8756. IEEE, 2024.",2024
